Id,Label,timeset,date,familyfriendly,genre,commentaires,titre,url,vues,suivant,chaine,abonnes,keywords,modularity_class
https://www.youtube.com/watch?v=iohSg5kHzmU,,,2022-03-31,true,News & Politics,5,"Jacques Rancière - Les trente inglorieuses : scènes politiques, 1991-2021",https://www.youtube.com/watch?v=iohSg5kHzmU,6480,"['https://www.youtube.com/watch?v=1gEYJAhOZDs', 'https://www.youtube.com/watch?v=ESi6O0B6H10', 'https://www.youtube.com/watch?v=DFjq5Q_p13M']",librairie mollat,-1,"Librairie, Mollat, Bordeaux, philosophie, politique, social, actualitÃ©s, philosophe, dÃ©mocratie, histoire",10
https://www.youtube.com/watch?v=CohtlwBZP5I,,,2020-11-23,true,News & Politics,8,Au cœur de l'Histoire: L'esclavage (Franck Ferrand),https://www.youtube.com/watch?v=CohtlwBZP5I,17237,"['https://www.youtube.com/watch?v=7cSWMDZOyuU', 'https://www.youtube.com/watch?v=7U-20hE336g', 'https://www.youtube.com/watch?v=nW8FiLPjDe4']",Europe 1,1060000,"Europe1 radio, europe 1, europe un, europe1, europ1, radio europe 1, radio, radio dâactualitÃ©, radio actu, radio news, news, actus, actu, actualitÃ©",10
https://www.youtube.com/watch?v=Zy8cUQqrH5M,,,2019-03-25,true,Education,62,Alain Decaux raconte : La fin de Trotsky | Archive INA,https://www.youtube.com/watch?v=Zy8cUQqrH5M,67649,"['https://www.youtube.com/watch?v=KPtBIpuIWSs', 'https://www.youtube.com/watch?v=VZyvXajIUXk', 'https://www.youtube.com/watch?v=etW5ZOve2q0']",INA Histoire,-1,"INA, Archive, Institut national de l'audiovisuel, histoire, TF1, Antenne 2, FR3, ORTF, trotsky, urss, soviet, LÃ©on Trotski, Joseph Staline",10
https://www.youtube.com/watch?v=DGzg4JrBMg8,,,2016-05-05,true,Science & Technology,-1,Sommes-nous seuls dans l'univers ? - Le voyage fantastique des frères Bogdanov,https://www.youtube.com/watch?v=DGzg4JrBMg8,935668,"['https://www.youtube.com/watch?v=YZ_-COCkBak', 'https://www.youtube.com/watch?v=PfYYraMgiBA', 'https://www.youtube.com/watch?v=TNTLCoTLmiw']",imineo Documentaires,1260000,"documentaire, bogdanov, futur, univers, cosmos, espace, science, scientifique, franÃ§ais, vf, fr, entier, complet, temps x",10
https://www.youtube.com/watch?v=F3Ty7_n_rB4,,,2021-01-01,true,Film & Animation,-1,Le royaume de Jésus | L'origine du christianisme (Episode 3) | ARTE,https://www.youtube.com/watch?v=F3Ty7_n_rB4,218063,"['https://www.youtube.com/watch?v=WffNw03DqWY', 'https://www.youtube.com/watch?v=M4Ry7qsXYsE', 'https://www.youtube.com/watch?v=dZjbg0xjc00']",ARTE,2440000,"ARTE, TV, SÃ©rie documentaire, royaume de jÃ©sus, jÃ©sus christ, l'origine du christianisme arte, JÃ©sus, Origine, christianisme, crucifixion, Conversion, religion, empire romain",15
https://www.youtube.com/watch?v=8xfOI5zvwmw,,,2021-12-13,true,Entertainment,34,Archéologie en Terre d'Israël - De la Tour de Babel à l'échelle de Jacob,https://www.youtube.com/watch?v=8xfOI5zvwmw,32123,"['https://www.youtube.com/watch?v=BvBaAu49a2o', 'https://www.youtube.com/watch?v=2Vd-AaKIa5w', 'https://www.youtube.com/watch?v=fHj2OxOlk1s']",imineo Documentaires,1260000,"documentaire, israel, egypte, bible, jerusalem, archeologie, histoire",2
https://www.youtube.com/watch?v=nO_ORvS52Zg,,,2015-05-17,true,Nonprofits & Activism,2,Jacques de Jérusalem,https://www.youtube.com/watch?v=nO_ORvS52Zg,21792,"['https://www.youtube.com/watch?v=qtifZjw0ObE', 'https://www.youtube.com/watch?v=WsPM-vdXmbY', 'https://www.youtube.com/watch?v=6MwjSRohc3M']",KTOTV,-1,"Jacques, JÃ©rusalem, prise, Eglise, Catholique, Foi, Evangile, KTO",15
https://www.youtube.com/watch?v=4u09XUoCxRw,,,2014-11-18,true,Science & Technology,291,"[Jean-Pierre Bibring] Mars : un monde ""habitable"" ?",https://www.youtube.com/watch?v=4u09XUoCxRw,405040,"['https://www.youtube.com/watch?v=9VOWalVRcUk', 'https://www.youtube.com/watch?v=CNeFoqVT6LI', 'https://www.youtube.com/watch?v=-aIZ6X1P1G4']",Espace des sciences,-1,"astronomie, mars, planÃ¨te, univers",4
https://www.youtube.com/watch?v=4Hofts3W3U8,,,2014-10-27,true,Science & Technology,-1,[Édouard Brézin] Qui a besoin du boson de Higgs ?,https://www.youtube.com/watch?v=4Hofts3W3U8,96254,"['https://www.youtube.com/watch?v=BqRacKNcyZ8', 'https://www.youtube.com/watch?v=xMUEhm9vFvQ', 'https://www.youtube.com/watch?v=YU1bffYC3bU']",Espace des sciences,-1,"astronomie, Boson de Higgs, CERN, masse, particules, physique, univers",4
https://www.youtube.com/watch?v=KFn79bmPdtI,,,2014-06-24,true,Science & Technology,10,"[Brigitte Zanda] Les météorites, témoins de la formation du Soleil et des planètes",https://www.youtube.com/watch?v=KFn79bmPdtI,16251,"['https://www.youtube.com/watch?v=QeQRJQobx-w', 'https://www.youtube.com/watch?v=MvtvmJNOHG0', 'https://www.youtube.com/watch?v=ccxUpWe1tKA']",Espace des sciences,-1,"astronomie, mÃ©tÃ©orite, planÃ¨te, soleil, univers",4
https://www.youtube.com/watch?v=-K9gq6VpBzA,,,2018-04-23,true,Science & Technology,21,Mars : les archives perdues de la Terre,https://www.youtube.com/watch?v=-K9gq6VpBzA,14173,"['https://www.youtube.com/watch?v=umfvh21sZ_M', 'https://www.youtube.com/watch?v=MySylfZxqpo', 'https://www.youtube.com/watch?v=FaOsSv_eba0']",Muséum national d'Histoire naturelle,-1,"meteorites, meteorite, exposition, museum, expometeorites, mars, planÃ¨te, espace, gÃ©ologie, extraterrestre, minÃ©ralogie, cosmochimie, astrophysique",4
https://www.youtube.com/watch?v=MBZPuRp-lI8,,,2020-10-23,true,Film & Animation,850,Existe-t-il une Vie EXTRA-TERRESTRE ? Documentaire Gratuit Complet en Français,https://www.youtube.com/watch?v=MBZPuRp-lI8,635559,"['https://www.youtube.com/watch?v=zFaX72zNQ8Q', 'https://www.youtube.com/watch?v=k-jfsuLkiRE', 'https://www.youtube.com/watch?v=2jTJDvfowFI']",Boxoffice | Films Complets en Français,1270000,"film complet, film complet en franÃ§ais, nouveautÃ©, cinema",4
https://www.youtube.com/watch?v=aKnIVJ0exrc,,,2022-03-18,true,Science & Technology,1,Humains-nature : un dialogue rompu ?,https://www.youtube.com/watch?v=aKnIVJ0exrc,465,"['https://www.youtube.com/watch?v=Y5amifks3To', 'https://www.youtube.com/watch?v=_ofqznb6qrw', 'https://www.youtube.com/watch?v=cPygl5CrxBk']",Muséum national d'Histoire naturelle,-1,"vidÃ©o, partage, tÃ©lÃ©phone-appareil photo, visiophone, gratuit, envoi",4
https://www.youtube.com/watch?v=NaGUuZXNOz8,,,2020-08-14,true,Science & Technology,7,Initiation - De nouveaux instruments pour une nouvelle vision de l’univers - Patrick LECUREUIL,https://www.youtube.com/watch?v=NaGUuZXNOz8,19732,"['https://www.youtube.com/watch?v=POPdDqf_sM0', 'https://www.youtube.com/watch?v=OuKZQKI1jAg', 'https://www.youtube.com/watch?v=sdyVGXE_gMI']",Festival d'Astronomie de Fleurance,-1,"vidÃ©o, partage, tÃ©lÃ©phone-appareil photo, visiophone, gratuit, envoi",4
https://www.youtube.com/watch?v=q8m_qkxSG-g,,,2020-09-07,true,Science & Technology,12,Etudier le trou noir central de notre galaxie,https://www.youtube.com/watch?v=q8m_qkxSG-g,23485,"['https://www.youtube.com/watch?v=j6V0PKGQ_Fg', 'https://www.youtube.com/watch?v=SqN0e-bAKCA', 'https://www.youtube.com/watch?v=B8K4_sya77g']",Festival d'Astronomie de Fleurance,-1,"astronomie, trou noir, Sylvain Chaty",4
https://www.youtube.com/watch?v=YrvHAo2YX2w,,,2020-12-14,true,Entertainment,128,Ce Voyage Incroyable Dans Un Trou Noir Te Donnera La Chair De Poule,https://www.youtube.com/watch?v=YrvHAo2YX2w,61088,"['https://www.youtube.com/watch?v=gQm4NzwHg7U', 'https://www.youtube.com/watch?v=lmb3AplwMi4', 'https://www.youtube.com/watch?v=f7hcXMCwGLw']",SYMPA,6730000,"Bright Side French, Bright Side France, faits sur l'espace, stephen hawking, documentaire sur les mystÃ¨res de l'espace, horizon des Ã©vÃ©nements, matiÃ¨re noire, trou noir le plus proche, rayonnement de hawking, champ gravitationnel d'un trou noir, l'univers, faits sur l'espace et les planÃ¨tes, trous noirs, trous blancs, Ã©nergie noire, trou de ver, big bang, faits sur l'univers, la physique quantique expliquÃ©e, ce qu'il y a Ã  l'intÃ©rieur d'un trou noir, spaghettification",14
https://www.youtube.com/watch?v=OcgDle1b6yU,,,2021-03-10,true,Entertainment,-1,Doit-on reconfiner le week-end ?,https://www.youtube.com/watch?v=OcgDle1b6yU,678693,"['https://www.youtube.com/watch?v=k3ZLyWittX4', 'https://www.youtube.com/watch?v=Pu-2ynrUoy4', 'https://www.youtube.com/watch?v=DYh_pWFuU80']",Touche pas à mon poste !,1980000,"tpmp, cyril hanouna, touche pas a mon poste, c8, matthieu delormeau, gillez verdez, valÃ©rie benaim, kelly vedovelli, nabilla benattia, gÃ©raldine maillet, maxime guÃ©ny, benjamin castaldi, thÃ©o le tarba, adrien lemaÃ®tre, bertrand chameroy, benoit debois, danielle moreau, isabelle morini-bosc",6
https://www.youtube.com/watch?v=IXw_ToUm3HU,,,2021-10-03,true,Entertainment,-1,Nicolas Hulot accusé de viol : les révélations de Jean-Michel Aphatie dans TPMP,https://www.youtube.com/watch?v=IXw_ToUm3HU,883159,"['https://www.youtube.com/watch?v=iji7nKdmfHs', 'https://www.youtube.com/watch?v=zixDFHnhsXI', 'https://www.youtube.com/watch?v=ZG5_NZRrph4']",Touche pas à mon poste !,1980000,"Bernard Montiel, Jean-Michel Maire, Raymond, benjamin castaldi, c8, cyril hanouna, geraldine maillet, gilles verdez, isabelle morini-bosc, jean-pascal lacoste, kelly vedovelli, maxime gueny, touche pas a mon poste, tpmp, valerie benaim",6
https://www.youtube.com/watch?v=DYh_pWFuU80,,,2021-01-25,true,Entertainment,-1,"""Enquête exclusive"" à charge contre le Professeur Raoult : Son avocat répond",https://www.youtube.com/watch?v=DYh_pWFuU80,702998,"['https://www.youtube.com/watch?v=y02HNc2aXfM', 'https://www.youtube.com/watch?v=hTkT9GjO8L4', 'https://www.youtube.com/watch?v=K71LcQDnlOg']",Touche pas à mon poste !,1980000,"tpmp, cyril hanouna, touche pas a mon poste, c8, matthieu delormeau, gillez verdez, valÃ©rie benaim, kelly vedovelli, nabilla benattia, gÃ©raldine maillet, maxime guÃ©ny, benjamin castaldi, thÃ©o le tarba, adrien lemaÃ®tre, bertrand chameroy, benoit debois, danielle moreau, isabelle morini-bosc",6
https://www.youtube.com/watch?v=Tk6bAJBNdsc,,,2021-04-17,true,Entertainment,-1,Fabrice Di Vizio s'explique face à Benjamin Castaldi,https://www.youtube.com/watch?v=Tk6bAJBNdsc,770968,"['https://www.youtube.com/watch?v=OcgDle1b6yU', 'https://www.youtube.com/watch?v=_MyPZewx__A', 'https://www.youtube.com/watch?v=bPZRjaVC4WQ']",Touche pas à mon poste !,1980000,"adrien lemaÃ®tre, benjamin castaldi, benoit debois, bertrand chameroy, c8, cyril hanouna, danielle moreau, gillez verdez, gÃ©raldine maillet, isabelle morini-bosc, kelly vedovelli, matthieu delormeau, maxime guÃ©ny, nabilla benattia, thÃ©o le tarba, touche pas a mon poste, tpmp, valÃ©rie benaim",6
https://www.youtube.com/watch?v=5J6fCkCOVa8,,,2022-04-30,true,Entertainment,-1,Delphine Wespiser règle ses comptes avec Matthieu Delormeau !,https://www.youtube.com/watch?v=5J6fCkCOVa8,436700,"['https://www.youtube.com/watch?v=qXrKlrenwqU', 'https://www.youtube.com/watch?v=ssKpmRXbAZI', 'https://www.youtube.com/watch?v=uNv1GaeGGz4']",Touche pas à mon poste !,1980000,"Bernard Montiel, Jean-Michel Maire, Raymond, benjamin castaldi, c8, cyril hanouna, geraldine maillet, gilles verdez, isabelle morini-bosc, jean-pascal lacoste, kelly vedovelli, maxime gueny, touche pas a mon poste, tpmp, valerie benaim",6
https://www.youtube.com/watch?v=uNv1GaeGGz4,,,2021-12-17,true,Entertainment,-1,Gilles Verdez accusé de racisme anti-blanc : il s'exprime dans TPMP !,https://www.youtube.com/watch?v=uNv1GaeGGz4,490442,"['https://www.youtube.com/watch?v=EHFGnZ3cl3I', 'https://www.youtube.com/watch?v=6r3nT8EoAd4', 'https://www.youtube.com/watch?v=7DObQ1pDbgE']",Touche pas à mon poste !,1980000,"Bernard Montiel, Jean-Michel Maire, Raymond, benjamin castaldi, c8, cyril hanouna, geraldine maillet, gilles verdez, isabelle morini-bosc, jean-pascal lacoste, kelly vedovelli, maxime gueny, touche pas a mon poste, tpmp, valerie benaim",6
https://www.youtube.com/watch?v=KceZRatKXy0,,,2022-05-05,true,Entertainment,439,"PPDA porte plainte : le témoignage de Muriel Reus, vice-présidente de ""Metoo Médias""",https://www.youtube.com/watch?v=KceZRatKXy0,196249,"['https://www.youtube.com/watch?v=bV7gApu_Cr8', 'https://www.youtube.com/watch?v=c7Z1AQxEf80', 'https://www.youtube.com/watch?v=NsOmSf2nzb0']",Touche pas à mon poste !,1980000,"Bernard Montiel, Jean-Michel Maire, Raymond, benjamin castaldi, c8, cyril hanouna, geraldine maillet, gilles verdez, isabelle morini-bosc, jean-pascal lacoste, kelly vedovelli, maxime gueny, touche pas a mon poste, tpmp, valerie benaim",5
https://www.youtube.com/watch?v=cnsKNvDplFo,,,2022-05-10,true,News & Politics,-1,PPDA : 20 femmes prennent la parole,https://www.youtube.com/watch?v=cnsKNvDplFo,1302196,"['https://www.youtube.com/watch?v=oCrHtasllZI', 'https://www.youtube.com/watch?v=H2UzktwofJI', 'https://www.youtube.com/watch?v=vWcV8ZPBEDg']",Mediapart,-1,"Mediapart, EdwyPlenel, Investigation, rÃ©vÃ©lations",5
https://www.youtube.com/watch?v=Z_6Cng_huwU,,,2022-05-13,true,Entertainment,505,Julien Odoul compare Bernard Montiel à du papier WC !,https://www.youtube.com/watch?v=Z_6Cng_huwU,188247,"['https://www.youtube.com/watch?v=aN_hyUtJb4E', 'https://www.youtube.com/watch?v=abaTBAxaDXk', 'https://www.youtube.com/watch?v=wcLp2ueqBSY']",Touche pas à mon poste !,1980000,"Bernard Montiel, Jean-Michel Maire, Raymond, benjamin castaldi, c8, cyril hanouna, geraldine maillet, gilles verdez, isabelle morini-bosc, jean-pascal lacoste, kelly vedovelli, maxime gueny, touche pas a mon poste, tpmp, valerie benaim",6
https://www.youtube.com/watch?v=5msN6_y3Oz0,,,2022-04-22,true,News & Politics,-1,"""Nos monnaies vont s'effondrer du fait de l'imbécilité"" - Charles Gave",https://www.youtube.com/watch?v=5msN6_y3Oz0,1121747,"['https://www.youtube.com/watch?v=7-AzTqIc9I8', 'https://www.youtube.com/watch?v=8ocCL3u3mAA', 'https://www.youtube.com/watch?v=tGVTyPqzGq4']",Sud Radio,-1,"Ãconomie, Politique",12
https://www.youtube.com/watch?v=8ocCL3u3mAA,,,2021-11-22,true,News & Politics,-1,"Big Brother, effondrement du système bancaire - L'interview choc d'Anice Lajnef",https://www.youtube.com/watch?v=8ocCL3u3mAA,619173,"['https://www.youtube.com/watch?v=Pzxb3gpTfaM', 'https://www.youtube.com/watch?v=6fzCsb8dIEM', 'https://www.youtube.com/watch?v=2muwA855M6Y']",Sud Radio,-1,"Cash, Ã©conomie, monnaie, Europe, Anice Lajnef",12
https://www.youtube.com/watch?v=CaQ-8GfyBLM,,,2021-05-31,true,Entertainment,-1,Débat autour des propos polémiques de Jean-Marie Bigard sur la crise sanitaire et le gouvernement,https://www.youtube.com/watch?v=CaQ-8GfyBLM,565031,"['https://www.youtube.com/watch?v=woc9ejQmHIo', 'https://www.youtube.com/watch?v=6JnEZI2tEWE', 'https://www.youtube.com/watch?v=FsBBk0Vq_4I']",Touche pas à mon poste !,1980000,"adrien lemaÃ®tre, benjamin castaldi, benoit debois, bertrand chameroy, c8, cyril hanouna, danielle moreau, gillez verdez, gÃ©raldine maillet, isabelle morini-bosc, kelly vedovelli, matthieu delormeau, maxime guÃ©ny, nabilla benattia, thÃ©o le tarba, touche pas a mon poste, tpmp, valÃ©rie benaim",6
https://www.youtube.com/watch?v=5h2lweNMIUo,,,2021-10-14,true,Entertainment,-1,L'humoriste Gaëtan Matis fait polémique après une blague sur les attentats du Bataclan,https://www.youtube.com/watch?v=5h2lweNMIUo,337368,"['https://www.youtube.com/watch?v=LIQGHEGk5HY', 'https://www.youtube.com/watch?v=upC0xaGwHsM', 'https://www.youtube.com/watch?v=uwPgdbzfxjU']",Touche pas à mon poste !,1980000,"Bernard Montiel, Jean-Michel Maire, Raymond, benjamin castaldi, c8, cyril hanouna, geraldine maillet, gilles verdez, isabelle morini-bosc, jean-pascal lacoste, kelly vedovelli, maxime gueny, touche pas a mon poste, tpmp, valerie benaim",6
https://www.youtube.com/watch?v=5Ey_r7rcvqc,,,2021-02-18,true,Entertainment,-1,"Faut-il condamner les propos ""complotistes"" ?",https://www.youtube.com/watch?v=5Ey_r7rcvqc,397078,"['https://www.youtube.com/watch?v=OcgDle1b6yU', 'https://www.youtube.com/watch?v=2uWuuJC7hiU', 'https://www.youtube.com/watch?v=8Ox0Fif_PkE']",Touche pas à mon poste !,1980000,"tpmp, cyril hanouna, touche pas a mon poste, c8, matthieu delormeau, gillez verdez, valÃ©rie benaim, kelly vedovelli, nabilla benattia, gÃ©raldine maillet, maxime guÃ©ny, benjamin castaldi, thÃ©o le tarba, adrien lemaÃ®tre, bertrand chameroy, benoit debois, danielle moreau, isabelle morini-bosc",6
https://www.youtube.com/watch?v=p9qTOOrhvsg,,,2021-09-13,true,Entertainment,-1,Faut-il sanctionner les parents de délinquants ?,https://www.youtube.com/watch?v=p9qTOOrhvsg,566266,"['https://www.youtube.com/watch?v=Tz-lYPdp7Mo', 'https://www.youtube.com/watch?v=W322BwWiL7c', 'https://www.youtube.com/watch?v=AnFddfbJanI']",Touche pas à mon poste !,1980000,"Bernard Montiel, Jean-Michel Maire, Raymond, benjamin castaldi, c8, cyril hanouna, geraldine maillet, gilles verdez, isabelle morini-bosc, jean-pascal lacoste, kelly vedovelli, maxime gueny, touche pas a mon poste, tpmp, valerie benaim",6
https://www.youtube.com/watch?v=LB3mqGFF9Xc,,,2022-05-21,true,Entertainment,679,Des Américains polyamoureux ont eu des enfants mais ne souhaitent pas savoir qui est le père,https://www.youtube.com/watch?v=LB3mqGFF9Xc,138607,"['https://www.youtube.com/watch?v=wlWS4jVhNtU', 'https://www.youtube.com/watch?v=XsN7wyVTt80', 'https://www.youtube.com/watch?v=qSnCSMslYjw']",Touche pas à mon poste !,1980000,"Bernard Montiel, Jean-Michel Maire, Raymond, benjamin castaldi, c8, cyril hanouna, geraldine maillet, gilles verdez, isabelle morini-bosc, jean-pascal lacoste, kelly vedovelli, maxime gueny, touche pas a mon poste, tpmp, valerie benaim",6
https://www.youtube.com/watch?v=Fs3zenxC_A0,,,2022-05-19,true,Entertainment,455,"Des baguettes de pain rappelées car elles peuvent ""contenir du métal""",https://www.youtube.com/watch?v=Fs3zenxC_A0,244753,"['https://www.youtube.com/watch?v=M_n5cNg8r6Q', 'https://www.youtube.com/watch?v=cgg1Drl5bYg', 'https://www.youtube.com/watch?v=7cpOrU1dLjw']",Touche pas à mon poste !,1980000,"Bernard Montiel, Jean-Michel Maire, Raymond, benjamin castaldi, c8, cyril hanouna, geraldine maillet, gilles verdez, isabelle morini-bosc, jean-pascal lacoste, kelly vedovelli, maxime gueny, touche pas a mon poste, tpmp, valerie benaim",6
https://www.youtube.com/watch?v=4MfAL6FVaOs,,,2022-05-05,true,Science & Technology,11,Rencontre avec Arthur Keller et les étudiants de l'Institut Agro Rennes Angers,https://www.youtube.com/watch?v=4MfAL6FVaOs,3600,"['https://www.youtube.com/watch?v=A3f9Lbh5sNM', 'https://www.youtube.com/watch?v=btvCUPTuLPc', 'https://www.youtube.com/watch?v=yZ6qnLSKDMI']",L'Institut Agro Rennes-Angers,-1,"vidÃ©o, partage, tÃ©lÃ©phone-appareil photo, visiophone, gratuit, envoi",1
https://www.youtube.com/watch?v=HAeemp5-ZMA,,,2022-03-14,true,Education,-1,"Rencontre débat avec Jean Jouzel, climatologue et les étudiants de l'Institut Agro Rennes-Angers",https://www.youtube.com/watch?v=HAeemp5-ZMA,2122,"['https://www.youtube.com/watch?v=4MfAL6FVaOs', 'https://www.youtube.com/watch?v=AipuCDylff4', 'https://www.youtube.com/watch?v=tUml_4KZKhk']",L'Institut Agro Rennes-Angers,-1,"vidÃ©o, partage, tÃ©lÃ©phone-appareil photo, visiophone, gratuit, envoi",1
