Date,FamilyFriendly,Genre,Commentaires,Titre,URL,Vues,Suivant,Profondeur,Chaine,Abonnes
2022-05-27,true,People & Blogs,41,LE BITCOIN &amp; ETHEREUM VONT VOIR UN GROS MOUVEMENT AUJOURD'HUI [24 Heures...],https://www.youtube.com/watch?v=xqGfTuhSWFw,3402,"['https://www.youtube.com/watch?v=xZzKt2VK_IM', 'https://www.youtube.com/watch?v=EkE229ybABc', 'https://www.youtube.com/watch?v=vs_Zzf_vL2I']",4,Satoshi Stacker FR,26.7K subscribers
2022-05-10,true,Education,"6,601",Erreur d'encodage,https://www.youtube.com/watch?v=1L5U37rc8qc,58972,"['https://www.youtube.com/watch?v=IVYI3Lq15pE', 'https://www.youtube.com/watch?v=h9HVEHkdBJo', 'https://www.youtube.com/watch?v=xkPbEKUJIOY']",4,Julien Roman,216K subscribers
2022-04-26,true,Education,365,IMPOT ET FISCALITE CRYPTO 2022! Quoi déclarer? Comment? Combien? Vidéo ULTIME sur la fiscalité !,https://www.youtube.com/watch?v=eV7XVuONe_U,22468,"['https://www.youtube.com/watch?v=zORPfuYnffc', 'https://www.youtube.com/watch?v=yOUaSSZK6Ts', 'https://www.youtube.com/watch?v=_7wmpbxc-V8']",4,Julien Roman,216K subscribers
2022-05-26,true,Education,27,Comment gérer son budget,https://www.youtube.com/watch?v=yOUaSSZK6Ts,8701,"['https://www.youtube.com/watch?v=AaALjo4OMvw', 'https://www.youtube.com/watch?v=drcEideRweM', 'https://www.youtube.com/watch?v=qovLNCg6iZ0']",4,Théophile Eliet,303K subscribers
2022-05-25,true,Science & Technology,204,MUSK annonce ses vrais OBJECTIFS ! - Le Journal de la Starbase #24 - Le Journal de l'Espace,https://www.youtube.com/watch?v=54hda_Hk6Ew,60336,"['https://www.youtube.com/watch?v=3NzvQhgI1wI', 'https://www.youtube.com/watch?v=EYpnV6wEopY', 'https://www.youtube.com/watch?v=G94CEVqPQ7E']",4,Le Journal de l'Espace,138K subscribers
2022-05-24,true,Science & Technology,302,Des MOTEURS NUCLÉAIRES pour RÉVOLUTIONNER la propulsion spatiale ! DNDE 252,https://www.youtube.com/watch?v=mWaH7Pt-Mek,93531,"['https://www.youtube.com/watch?v=mmKvbOhuidU', 'https://www.youtube.com/watch?v=GvWwpFNIwnk', 'https://www.youtube.com/watch?v=54hda_Hk6Ew']",4,Hugo Lisoir,422K subscribers
2022-02-08,true,Science & Technology,"1,606",Les VRAIES RAISONS du retour sur la LUNE! - Le Saviez Vous #24 - Le Journal de l'Espace,https://www.youtube.com/watch?v=IClB5-EjtNM,430373,"['https://www.youtube.com/watch?v=IHXXpDPIo3U', 'https://www.youtube.com/watch?v=jDFacmXZFGY', 'https://www.youtube.com/watch?v=TXmrwimtWS0']",4,Le Journal de l'Espace,138K subscribers
2022-05-25,true,Education,122,Erreur d'encodage,https://www.youtube.com/watch?v=5sl5Ov7sxZc,7880,"['https://www.youtube.com/watch?v=qv1tuSWvM-w', 'https://www.youtube.com/watch?v=xqGfTuhSWFw', 'https://www.youtube.com/watch?v=80YHxB30NV8']",4,Les Rois du Bitcoin,19.9K subscribers
2022-05-22,true,Education,178,Investir en Bourse : Warren Buffet achète massivement. Faut-il le suivre ?,https://www.youtube.com/watch?v=CdbvwuG8ieg,59547,"['https://www.youtube.com/watch?v=jDfeYOYwszI', 'https://www.youtube.com/watch?v=3iWfLWFuec0', 'https://www.youtube.com/watch?v=cj7sNyr0zqI']",4,Thami Kabbaj,405K subscribers
2022-05-24,true,Education,"1,742",INVESTIR DANS LA CRYPTO EN 2022 - GUIDE SPECIAL DEBUTANT,https://www.youtube.com/watch?v=J7LHv_Q7Vj4,18622,"['https://www.youtube.com/watch?v=m_4YLKK5E2s', 'https://www.youtube.com/watch?v=PDZNB_Ko9-I', 'https://www.youtube.com/watch?v=zwqNI5i27cA']",4,Julien Roman,216K subscribers
2021-04-20,true,Science & Technology,"1,015",Le Rayonnement de Hawking,https://www.youtube.com/watch?v=QpppDWL3z-w,316542,"['https://www.youtube.com/watch?v=su3enZAh2v8', 'https://www.youtube.com/watch?v=yBNtJN9j2_I', 'https://www.youtube.com/watch?v=sBd3Pvg785U']",4,ScienceClic,345K subscribers
2018-11-11,true,Science & Technology,"1,620",Les Trous de ver,https://www.youtube.com/watch?v=Xy07QVrE2lY,955695,"['https://www.youtube.com/watch?v=b1e-yxxsR9U', 'https://www.youtube.com/watch?v=efQNpe7GOAw', 'https://www.youtube.com/watch?v=sBd3Pvg785U']",4,ScienceClic,345K subscribers
2020-10-31,true,Science & Technology,923,La théorie Quantique des Champs,https://www.youtube.com/watch?v=WsPM-vdXmbY,290541,"['https://www.youtube.com/watch?v=5QQHwyzwxyE', 'https://www.youtube.com/watch?v=m2B5g3ljJH8', 'https://www.youtube.com/watch?v=OSNBW41rFwY']",4,ScienceClic,345K subscribers
2022-05-21,true,Education,11,Erreur d'encodage,https://www.youtube.com/watch?v=-Dshi7BN2WM,1626,"['https://www.youtube.com/watch?v=TL-FEfjLRl8', 'https://www.youtube.com/watch?v=Cyjx6PLFUXI', 'https://www.youtube.com/watch?v=Wf23QMX9y4I']",4,Cryptolyze,10.8K subscribers
2022-05-19,true,Science & Technology,25,L' effondrement du stablecoin qui fait trembler l'industrie crypto – Les Contes de Monte-Crypto,https://www.youtube.com/watch?v=0stmtkXszKo,6864,"['https://www.youtube.com/watch?v=rICV4w-OhO4', 'https://www.youtube.com/watch?v=Dw74ZfXi0TQ', 'https://www.youtube.com/watch?v=SMlrFOcYc40']",4,Cryptoast,125K subscribers
2022-05-20,true,Science & Technology,3,LINK - Que fait Chainlink ? Analyse crypto du jour,https://www.youtube.com/watch?v=aNVAv-0AoCc,86,"['https://www.youtube.com/watch?v=n8hY0j5PBn8', 'https://www.youtube.com/watch?v=O8PJhN42XsU', 'https://www.youtube.com/watch?v=wFo18h_rS2Q']",4,Burry Junior,2.38K subscribers
2022-05-26,true,Comedy,420,"Sylvain, le serial killer - Les duos impossibles 8ème édition",https://www.youtube.com/watch?v=FR6jXT_S0VA,328517,"['https://www.youtube.com/watch?v=-YUDLkrjRbI', 'https://www.youtube.com/watch?v=Nvg2-mJr4Hw', 'https://www.youtube.com/watch?v=NolCzzRODTQ']",4,Les Duos Impossibles de Jérémy Ferrari,197K subscribers
2021-03-30,true,Comedy,214,Inter-sketch : L’imitation d’Olivier de Benoist,https://www.youtube.com/watch?v=aAoMNjD6i08,835292,"['https://www.youtube.com/watch?v=LjnsCTE47Gk', 'https://www.youtube.com/watch?v=sNPAh5rbQeU', 'https://www.youtube.com/watch?v=4wmylAORCx8']",4,Les Duos Impossibles de Jérémy Ferrari,197K subscribers
2020-05-05,true,Comedy,-1,Ben et Arnaud Tsamere : Les pêcheurs,https://www.youtube.com/watch?v=RyduSkEmoco,1195575,"['https://www.youtube.com/watch?v=UPWeJmdKOs8', 'https://www.youtube.com/watch?v=OekHHL48xM8', 'https://www.youtube.com/watch?v=QJElkz9A9_E']",4,Les Duos Impossibles de Jérémy Ferrari,197K subscribers
2020-08-23,true,People & Blogs,"1,548",Paul Mirabel | Ma pire anecdote de date (feat. McFly &amp; Carlito),https://www.youtube.com/watch?v=CwfCl-yFETQ,3216432,"['https://www.youtube.com/watch?v=sdb0ZQX9Ezg', 'https://www.youtube.com/watch?v=RYjfe8OSRFw', 'https://www.youtube.com/watch?v=EcptHgx_Z0s']",4,Paul Mirabel,122K subscribers
2022-02-17,true,Comedy,454,Blanche Neige - Les duos impossibles 8ème édition,https://www.youtube.com/watch?v=-YUDLkrjRbI,1177253,"['https://www.youtube.com/watch?v=i8S53rpLsM4', 'https://www.youtube.com/watch?v=FR6jXT_S0VA', 'https://www.youtube.com/watch?v=UPWeJmdKOs8']",4,Les Duos Impossibles de Jérémy Ferrari,197K subscribers
2021-12-17,true,News & Politics,321,"<span dir=""auto"" class=""style-scope yt-formatted-string"">Blanche Gardin provocatrice et grinçante aux Césars et aux Molières - </span><a class=""yt-simple-endpoint style-scope yt-formatted-string"" spellcheck=""false"" href=""/hashtag/metoo"" dir=""auto"">#MeToo</a>",https://www.youtube.com/watch?v=Prl9V3mRveA,732729,"['https://www.youtube.com/watch?v=FwUatvof1ws', 'https://www.youtube.com/watch?v=4wxWv241V3g', 'https://www.youtube.com/watch?v=LTdEPegDPWk']",4,A minuit le soleil,6.65K subscribers
2022-05-26,true,Comedy,420,"Sylvain, le serial killer - Les duos impossibles 8ème édition",https://www.youtube.com/watch?v=FR6jXT_S0VA,328517,"['https://www.youtube.com/watch?v=-YUDLkrjRbI', 'https://www.youtube.com/watch?v=NolCzzRODTQ', 'https://www.youtube.com/watch?v=fdAYnrFOhos']",4,Les Duos Impossibles de Jérémy Ferrari,197K subscribers
2020-05-05,true,Comedy,"1,105","Arnaud Tsamere, Jérémy Ferrari, Baptiste Lecaplain et Guillaume Bats : Notre-Dame",https://www.youtube.com/watch?v=UPWeJmdKOs8,2586650,"['https://www.youtube.com/watch?v=-YUDLkrjRbI', 'https://www.youtube.com/watch?v=fdAYnrFOhos', 'https://www.youtube.com/watch?v=56uvQ8OAJ3U']",4,Les Duos Impossibles de Jérémy Ferrari,197K subscribers
2020-05-05,true,Comedy,447,Jérémy Ferrari et Guillaume Bats : Le bras de fer,https://www.youtube.com/watch?v=I-LtYK26iIU,1565965,"['https://www.youtube.com/watch?v=8CF-58ZnN9Y', 'https://www.youtube.com/watch?v=AF2mHqMSUu0', 'https://www.youtube.com/watch?v=FR6jXT_S0VA']",4,Les Duos Impossibles de Jérémy Ferrari,197K subscribers
2022-05-24,true,News & Politics,"1,253","Olivier Piacentini - Forum de Davos, OMS : et s'ils voulaient dissoudre les peuples ?",https://www.youtube.com/watch?v=tGVTyPqzGq4,191732,"['https://www.youtube.com/watch?v=PXV2RbJ26A8', 'https://www.youtube.com/watch?v=7-AzTqIc9I8', 'https://www.youtube.com/watch?v=iuvMbwEPGLE']",4,Sud Radio,631K subscribers
2022-05-25,true,News & Politics,"1,610",Adrien Bocquet «&nbsp;affabulateur&nbsp;» ? Énorme coup de gueule d’André Bercoff contre CheckNews,https://www.youtube.com/watch?v=GmLaD0Q8kMc,136566,"['https://www.youtube.com/watch?v=7-AzTqIc9I8', 'https://www.youtube.com/watch?v=gk6NmJV0jlE', 'https://www.youtube.com/watch?v=c80ELzCNmec']",4,Sud Radio,631K subscribers
2022-05-25,true,News & Politics,117,"Pr Peyromaure : ""Le confinement et le pass vaccinal ont été des mesures alimentées par la peur""",https://www.youtube.com/watch?v=asgHKNE0RXI,12641,"['https://www.youtube.com/watch?v=qPh7hpjz1V0', 'https://www.youtube.com/watch?v=za8jzdao20Y', 'https://www.youtube.com/watch?v=CoDVIG2kYzY']",4,Europe 1,1.05M subscribers
2022-05-24,true,News & Politics,"1,253","Olivier Piacentini - Forum de Davos, OMS : et s'ils voulaient dissoudre les peuples ?",https://www.youtube.com/watch?v=tGVTyPqzGq4,191732,"['https://www.youtube.com/watch?v=PXV2RbJ26A8', 'https://www.youtube.com/watch?v=iuvMbwEPGLE', 'https://www.youtube.com/watch?v=kmVU0jOiOo8']",4,Sud Radio,631K subscribers
