Date,FamilyFriendly,Genre,Commentaires,Titre,URL,Vues,Suivant,Chaine,Abonnes,Id
2011-11-05,true,Howto & Style,-1,1 partie du livre Ézéchiel en audio / image,https://www.youtube.com/watch?v=whmlzmWFZjY,80984,"['https://www.youtube.com/watch?v=rjDdtL-cigo', 'https://www.youtube.com/watch?v=v5LqgGWetZs', 'https://www.youtube.com/watch?v=n3v3uWbaOOw']",La Sentinelle,-1,https://www.youtube.com/watch?v=whmlzmWFZjY
2022-05-13,true,Education,10,"[Visite privée] ""L'aventure Champollion"" à la BnF",https://www.youtube.com/watch?v=toqDqMdarTc,2977,"['https://www.youtube.com/watch?v=Q229f-Zir38', 'https://www.youtube.com/watch?v=uRsU7pzGQKE', 'https://www.youtube.com/watch?v=fTkQPkNHm0k']",Scribe Accroupi,-1,https://www.youtube.com/watch?v=toqDqMdarTc
2022-05-18,true,Education,-1,Champollion et la recherche sur les textes : questions d’actualité,https://www.youtube.com/watch?v=VxdwXs900rU,1196,"['https://www.youtube.com/watch?v=4kwdK5cOsXg', 'https://www.youtube.com/watch?v=71YjqnzmT2o', 'https://www.youtube.com/watch?v=toqDqMdarTc']",Bibliothèque nationale de France BnF,-1,https://www.youtube.com/watch?v=VxdwXs900rU
2017-11-29,true,Education,76,Les barbares: l’altérité nécessaire ?,https://www.youtube.com/watch?v=AB9oYEusTM8,74694,"['https://www.youtube.com/watch?v=JShZLAvDFok', 'https://www.youtube.com/watch?v=IuRpinJvKdI', 'https://www.youtube.com/watch?v=xR7R2MAgfyE']",Université de Genève (UNIGE),-1,https://www.youtube.com/watch?v=AB9oYEusTM8
2020-02-14,true,Education,24,"Tolkien, voyage en Terre du Milieu - Tolkien, poète de la “route perdue”",https://www.youtube.com/watch?v=4kaxECgShZM,10209,"['https://www.youtube.com/watch?v=Wkzyfp0hmys', 'https://www.youtube.com/watch?v=pF4rRwJOeXA', 'https://www.youtube.com/watch?v=agJ8zDYR-iw']",Bibliothèque nationale de France BnF,-1,https://www.youtube.com/watch?v=4kaxECgShZM
2018-06-01,true,Education,5,Réponse à Pascal par François Jullien | Cours méthodiques et populaires de philosophie,https://www.youtube.com/watch?v=nesKjCopY_U,6645,"['https://www.youtube.com/watch?v=DAd9xPB5qm0', 'https://www.youtube.com/watch?v=lr-u61TGUPo', 'https://www.youtube.com/watch?v=db2rhB49IGo']",Bibliothèque nationale de France BnF,-1,https://www.youtube.com/watch?v=nesKjCopY_U
2022-04-23,true,Education,7,Le rire mauvais – La Philosophie du quotidien,https://www.youtube.com/watch?v=DCTleA1TFVc,451,"['https://www.youtube.com/watch?v=0sESqfroIQA', 'https://www.youtube.com/watch?v=UQBdXHcIhQk', 'https://www.youtube.com/watch?v=QpkQlH7zJco']",Bibliothèque nationale de France BnF,-1,https://www.youtube.com/watch?v=DCTleA1TFVc
2022-04-26,true,Education,70,Le Premier Empire et Napoléon - Entretien avec Aurélien Lignereux,https://www.youtube.com/watch?v=mdH-y2PAGOU,61869,"['https://www.youtube.com/watch?v=I3uCKA9I6f4', 'https://www.youtube.com/watch?v=kcwc2rKosfY', 'https://www.youtube.com/watch?v=VzyG4hXfsaE']",Nota Bonus,-1,https://www.youtube.com/watch?v=mdH-y2PAGOU
2021-04-07,true,Education,191,La révolution française de 1789 : Entretien avec l'historien Jean-Clément Martin,https://www.youtube.com/watch?v=zyA1BbE1Uw8,108460,"['https://www.youtube.com/watch?v=xK6IcINnzSU', 'https://www.youtube.com/watch?v=l_NyCbdEZ2I', 'https://www.youtube.com/watch?v=C2jdTFbHby0']",Nota Bonus,-1,https://www.youtube.com/watch?v=zyA1BbE1Uw8
2022-05-17,true,News & Politics,554,"Crise de l'eau, planète terre invivable ? Emma Haziza [EN DIRECT]",https://www.youtube.com/watch?v=5ysUySSNW3M,544632,"['https://www.youtube.com/watch?v=i86t42xsZPY', 'https://www.youtube.com/watch?v=A-VYejgUCP4', 'https://www.youtube.com/watch?v=H2UzktwofJI']",Thinkerview,-1,https://www.youtube.com/watch?v=5ysUySSNW3M
